&a / °	I1 / %
-0.877	6.8
-0.882	6.8
-0.888	6.8
-0.893	6.4
-0.898	6.4
-0.904	6.4
-0.909	6.4
-0.914	6.4
-0.920	6.4
-0.925	6.8
-0.930	6.8
-0.936	6.8
-0.941	7.2
-0.946	7.2
-0.952	7.2
-0.957	7.6
-0.962	8.0
-0.968	8.4
-0.973	9.2
-0.979	9.6
-0.984	10.4
-0.989	11.2
-0.995	12.0
-1.000	13.2
-1.005	14.8
-1.011	16.4
-1.016	18.0
-1.021	20.0
-1.027	22.4
-1.032	24.8
-1.037	27.2
-1.043	29.6
-1.048	32.0
-1.053	34.0
-1.059	35.6
-1.064	36.4
-1.069	36.8
-1.075	36.8
-1.080	36.8
-1.085	37.2
-1.091	37.6
-1.096	38.4
-1.101	39.2
-1.107	40.0
-1.112	40.0
-1.118	38.8
-1.123	36.8
-1.128	34.4
-1.134	32.0
-1.139	30.0
-1.144	28.4
-1.150	27.2
-1.155	26.4
-1.160	25.2
-1.166	23.6
-1.171	21.6
-1.176	19.2
-1.182	16.8
-1.187	14.8
-1.192	12.8
-1.198	11.2
-1.203	10.0
-1.208	9.2
-1.214	8.4
-1.219	7.6
-1.224	7.2
-1.230	6.8
-1.235	6.8
-1.240	6.8
-1.246	6.4
-1.251	6.4
-1.256	6.4
-1.262	6.4
-1.267	6.4
-1.273	6.8
-1.278	6.8
-1.283	7.2
-1.289	7.6
-1.294	8.0
-1.299	8.4
-1.305	9.2
-1.310	9.6
-1.315	10.4
-1.321	11.6
-1.326	12.8
-1.331	14.8
-1.337	16.8
-1.342	19.2
-1.347	21.6
-1.353	24.4
-1.358	27.6
-1.363	30.8
-1.369	33.2
-1.374	34.8
-1.379	35.6
-1.385	36.0
-1.390	36.0
-1.395	36.4
-1.401	37.6
-1.406	38.8
-1.411	39.2
-1.417	38.8
-1.422	36.8
-1.428	34.4
-1.433	31.6
-1.438	29.2
-1.444	27.2
-1.449	26.0
-1.454	24.4
-1.460	22.4
-1.465	19.6
-1.470	16.8
-1.476	14.4
-1.481	12.4
-1.486	10.8
-1.492	9.6
-1.497	8.4
-1.502	8.0
-1.508	7.2
-1.513	6.8
-1.518	6.8
-1.524	6.8
-1.529	6.8
-1.534	6.8
-1.540	6.8
-1.545	7.2
-1.550	7.2
-1.556	8.0
-1.561	8.4
-1.566	8.8
-1.572	9.2
-1.577	10.0
-1.582	11.2
-1.588	12.4
-1.593	14.4
-1.599	16.8
-1.604	19.6
-1.609	22.8
-1.615	26.0
-1.620	29.2
-1.625	32.0
-1.631	33.6
-1.636	34.4
-1.641	34.8
-1.647	35.6
-1.652	36.8
-1.657	37.6
-1.663	38.0
-1.668	36.4
-1.673	34.0
-1.679	31.2
-1.684	28.8
-1.689	27.2
-1.695	25.6
-1.700	24.0
-1.705	21.2
-1.711	18.0
-1.716	15.2
-1.721	12.8
-1.727	10.8
-1.732	9.2
-1.737	8.4
-1.743	7.6
-1.748	7.2
-1.753	6.8
-1.759	6.8
-1.764	6.8
-1.769	6.8
-1.775	6.8
-1.780	6.8
-1.786	7.2
-1.791	7.6
-1.796	8.4
-1.802	9.6
-1.807	10.8
-1.812	12.4
-1.818	14.4
-1.823	16.8
-1.828	19.6
-1.834	22.8
-1.839	26.4
-1.844	29.6
-1.850	32.0
-1.855	33.6
-1.860	34.4
-1.866	35.2
-1.871	36.4
-1.876	37.2
-1.882	36.8
-1.887	34.8
-1.892	32.0
-1.898	28.8
-1.903	26.8
-1.908	24.8
-1.914	22.4
-1.919	19.6
-1.924	16.4
-1.930	13.6
-1.935	11.2
-1.940	9.6
-1.946	8.4
-1.951	7.6
-1.956	6.8
-1.962	6.8
-1.967	6.4
-1.972	6.4
-1.978	6.8
-1.983	7.2
-1.989	7.6
-1.994	8.0
-1.999	8.8
-2.005	10.0
-2.010	11.6
-2.015	13.2
-2.021	15.6
