#&a / °	I1 / %
-1.481	36.4
-1.486	36.4
-1.492	34.8
-1.497	32.0
-1.502	28.4
-1.508	24.4
-1.513	21.2
-1.518	19.2
-1.524	17.6
-1.529	16.8
-1.534	16.4
-1.540	16.4
-1.545	16.8
-1.550	17.2
-1.556	18.4
-1.561	19.6
-1.566	21.6
-1.572	24.4
-1.577	27.6
-1.582	31.6
-1.588	36.0
-1.593	40.8
-1.599	44.4
-1.604	46.8
-1.609	46.8
-1.615	44.8
-1.620	42.4
-1.625	40.8
-1.631	40.8
-1.636	42.0
-1.641	44.8
-1.647	48.0
-1.652	52.0
-1.657	55.2
-1.663	57.2
-1.668	56.4
-1.673	53.2
-1.679	48.4
-1.684	43.6
-1.689	39.6
-1.695	37.2
-1.700	35.6
-1.705	35.2
-1.711	35.2
-1.716	35.6
-1.721	36.0
-1.727	35.2
-1.732	32.8
-1.737	29.6
-1.743	25.6
-1.748	22.4
-1.753	19.6
-1.759	18.0
-1.764	16.8
-1.769	16.0
-1.775	16.0
-1.780	16.4
-1.786	17.6
-1.791	19.6
-1.796	22.4
-1.802	25.6
-1.807	29.6
-1.812	34.4
-1.818	38.8
-1.823	42.8
-1.828	45.2
-1.834	45.2
-1.839	43.6
-1.844	41.6
-1.850	40.8
-1.855	42.0
-1.860	44.4
-1.866	48.0
-1.871	51.6
-1.876	54.8
-1.882	56.0
-1.887	54.0
-1.892	49.6
-1.898	44.4
-1.903	40.0
-1.908	36.8
-1.914	35.2
-1.919	34.4
-1.924	34.4
-1.930	34.8
-1.935	34.4
-1.940	32.4
-1.946	29.2
-1.951	25.2
-1.956	21.6
-1.962	19.2
-1.967	17.6
-1.972	16.8
-1.978	16.8
-1.983	17.2
-1.989	18.4
-1.994	20.4
-1.999	23.2
-2.005	26.4
-2.010	30.8
-2.015	35.2
-2.021	39.6
-2.026	42.8
-2.031	43.6
-2.037	42.4
-2.042	40.8
-2.047	40.0
-2.053	40.8
-2.058	43.2
-2.063	46.8
-2.069	50.4
-2.074	52.8
-2.079	52.4
-2.085	48.8
-2.090	43.6
-2.095	39.2
-2.101	36.0
-2.106	34.4
-2.111	34.0
-2.117	34.0
-2.122	34.0
-2.127	32.4
-2.133	29.6
-2.138	25.6
-2.143	22.0
-2.149	19.2
-2.154	17.6
-2.159	16.8
-2.165	16.8
-2.170	18.0
-2.175	19.6
-2.181	22.0
-2.186	25.6
-2.191	29.6
-2.197	34.0
-2.202	38.0
-2.207	41.2
-2.213	41.6
-2.218	40.4
-2.223	39.2
-2.229	40.0
-2.234	42.4
-2.240	45.6
-2.245	48.0
-2.250	48.8
-2.256	47.6
-2.261	44.8
-2.266	41.2
-2.272	37.6
-2.277	34.8
-2.282	33.2
-2.288	32.8
-2.293	32.4
-2.298	31.6
-2.304	29.6
-2.309	26.4
-2.314	22.8
-2.320	19.6
-2.325	17.6
-2.330	17.2
-2.336	17.2
-2.341	18.0
-2.346	20.0
-2.352	22.8
-2.357	26.4
-2.362	30.0
-2.368	34.0
-2.373	37.6
-2.378	40.0
-2.384	40.4
-2.389	40.0
-2.394	40.8
-2.400	42.8
-2.405	45.6
-2.410	48.0
-2.416	49.6
-2.421	48.8
-2.426	45.2
-2.432	40.4
-2.437	36.4
-2.442	34.0
-2.448	32.4
-2.453	31.6
-2.458	30.4
-2.464	28.8
-2.469	25.6
-2.474	22.4
-2.480	19.6
-2.485	18.0
-2.490	17.6
-2.496	17.6
-2.501	18.8
-2.506	20.8
-2.512	23.6
-2.517	27.2
-2.522	31.2
-2.528	35.2
-2.533	38.4
-2.538	39.6
-2.544	40.0
-2.549	40.8
-2.554	42.4
-2.560	44.4
-2.565	46.0
-2.570	46.8
-2.576	45.2
-2.581	41.6
-2.586	37.6
-2.592	34.4
-2.597	32.0
-2.602	30.8
-2.608	29.6
-2.613	28.0
-2.619	25.6
-2.624	22.4
-2.629	19.6
-2.635	18.0
-2.640	17.6
-2.645	18.0
-2.651	19.6
-2.656	22.0
-2.661	25.2
-2.667	29.2
-2.672	32.4
-2.677	35.6
-2.683	37.2
-2.688	37.2
-2.693	36.8
-2.699	38.0
-2.704	40.4
-2.709	42.8
-2.715	44.0
-2.720	42.4
-2.725	39.2
-2.731	35.6
-2.736	31.2
-2.741	30.0
-2.747	29.2
-2.752	28.0
-2.757	26.4
-2.763	24.0
-2.768	21.2
-2.773	19.2
-2.779	18.0
-2.784	18.4
-2.789	19.6
-2.795	21.6
-2.800	24.4
-2.805	27.6
-2.811	30.8
-2.816	34.4
-2.821	37.2
-2.827	38.8
-2.832	40.0
-2.837	40.8
-2.843	41.2
-2.848	42.0
-2.853	42.0
-2.859	40.4
-2.864	37.2
-2.869	33.6
-2.875	30.4
-2.880	28.0
-2.885	26.4
-2.891	24.8
-2.896	23.2
-2.901	21.2
-2.907	19.6
-2.912	18.8
-2.917	18.4
-2.923	19.2
-2.928	21.2
-2.933	23.6
-2.939	26.4
-2.944	29.6
-2.949	33.2
-2.955	36.4
-2.960	38.8
-2.965	39.6
-2.971	40.0
-2.976	40.4
-2.981	40.4
-2.987	40.0
-2.992	38.0
-2.997	34.4
-3.003	31.2
-3.008	28.4
-3.013	26.4
-3.019	24.8
-3.024	22.8
-3.029	21.2
-3.035	19.6
-3.040	18.8
-3.045	18.8
-3.051	19.6
-3.056	21.2
-3.061	23.2
-3.067	26.0
-3.072	29.6
-3.077	32.8
-3.083	36.0
-3.088	37.2
-3.093	37.6
-3.099	37.6
-3.104	38.0
-3.109	38.0
-3.115	37.2
-3.120	34.4
-3.125	30.4
-3.131	26.8
-3.136	24.4
-3.141	22.8
-3.147	21.2
-3.152	20.0
-3.157	18.4
-3.163	18.0
-3.168	18.8
-3.173	20.0
-3.179	21.6
-3.184	23.6
-3.189	26.4
-3.195	30.0
-3.200	33.6
-3.205	36.0
-3.211	36.8
-3.216	36.4
-3.221	36.0
-3.227	36.0
-3.232	36.0
-3.237	34.4
-3.243	31.6
-3.248	28.0
-3.253	25.2
-3.259	22.8
-3.264	20.8
-3.269	19.2
-3.275	18.0
-3.280	16.8
-3.285	16.4
-3.291	16.4
-3.296	17.2
-3.301	18.8
-3.306	21.6
-3.312	25.6
-3.317	30.4
-3.322	33.2
-3.328	34.4
-3.333	34.8
-3.338	34.8
-3.344	34.8
-3.349	34.4
-3.354	32.0
-3.360	28.8
-3.365	25.6
-3.370	22.8
-3.376	20.8
-3.381	19.2
-3.386	18.0
-3.392	17.2
-3.397	17.2
-3.402	18.4
