#&a / °	I1 / %
-1.203	7.2
-1.208	6.8
-1.214	6.4
-1.219	6.0
-1.224	6.0
-1.230	5.6
-1.235	5.6
-1.240	5.2
-1.246	5.2
-1.251	5.2
-1.256	5.2
-1.262	5.6
-1.267	5.6
-1.273	5.6
-1.278	5.6
-1.283	6.0
-1.289	6.4
-1.294	6.4
-1.299	6.8
-1.305	7.2
-1.310	7.6
-1.315	8.4
-1.321	9.2
-1.326	10.4
-1.331	11.6
-1.337	12.8
-1.342	14.4
-1.347	16.4
-1.353	19.2
-1.358	21.6
-1.363	24.8
-1.369	28.0
-1.374	30.8
-1.379	33.2
-1.385	34.8
-1.390	36.0
-1.395	36.8
-1.401	37.2
-1.406	37.6
-1.411	37.6
-1.417	36.8
-1.422	34.8
-1.428	32.4
-1.433	29.6
-1.438	27.2
-1.444	24.8
-1.449	22.4
-1.454	19.6
-1.460	16.4
-1.465	13.6
-1.470	11.6
-1.476	10.0
-1.481	8.8
-1.486	8.0
-1.492	7.2
-1.497	6.8
-1.502	6.4
-1.508	6.0
-1.513	6.0
-1.518	5.6
-1.524	5.6
-1.529	5.6
-1.534	5.6
-1.540	5.6
-1.545	5.6
-1.550	6.0
-1.556	6.4
-1.561	6.8
-1.566	7.2
-1.572	7.6
-1.577	8.4
-1.582	9.2
-1.588	10.0
-1.593	11.2
-1.599	13.2
-1.604	15.2
-1.609	17.6
-1.615	20.4
-1.620	23.6
-1.625	26.8
-1.631	30.0
-1.636	32.8
-1.641	34.4
-1.647	35.6
-1.652	36.4
-1.657	36.8
-1.663	36.4
-1.668	34.8
-1.673	32.0
-1.679	29.2
-1.684	26.8
-1.689	24.4
-1.695	21.6
-1.700	18.4
-1.705	15.6
-1.711	12.8
-1.716	10.8
-1.721	9.2
-1.727	8.0
-1.732	7.2
-1.737	6.4
-1.743	6.0
-1.748	5.6
-1.753	5.6
-1.759	5.6
-1.764	5.6
-1.769	5.6
-1.775	5.6
-1.780	5.6
-1.786	6.0
-1.791	6.4
-1.796	6.8
-1.802	7.6
-1.807	8.4
-1.812	9.6
-1.818	11.2
-1.823	13.2
-1.828	15.6
-1.834	18.0
-1.839	21.2
-1.844	24.8
-1.850	28.4
-1.855	31.2
-1.860	33.6
-1.866	34.8
-1.871	36.0
-1.876	36.0
-1.882	35.2
-1.887	33.2
-1.892	30.4
-1.898	27.6
-1.903	24.4
-1.908	21.2
-1.914	17.6
-1.919	14.4
-1.924	11.6
-1.930	9.6
-1.935	8.4
-1.940	7.2
-1.946	6.4
-1.951	6.0
-1.956	5.6
-1.962	5.6
-1.967	5.6
-1.972	5.6
-1.978	5.6
-1.983	6.0
-1.989	6.4
-1.994	6.8
-1.999	7.2
-2.005	8.0
-2.010	9.2
-2.015	10.4
-2.021	12.0
-2.026	14.4
-2.031	17.2
-2.037	20.4
-2.042	23.6
-2.047	27.2
-2.053	30.0
-2.058	32.0
-2.063	33.2
-2.069	34.0
-2.074	34.0
-2.079	32.4
-2.085	29.6
-2.090	26.8
-2.095	23.6
-2.101	20.4
-2.106	16.8
-2.111	13.6
-2.117	10.8
-2.122	8.8
-2.127	7.6
-2.133	6.8
-2.138	6.4
-2.143	6.0
-2.149	5.6
-2.154	5.6
-2.159	5.6
-2.165	5.6
-2.170	6.0
-2.175	6.4
-2.181	6.8
-2.186	8.0
-2.191	9.2
-2.197	10.8
-2.202	12.4
-2.207	14.8
-2.213	17.2
-2.218	20.0
-2.223	23.6
-2.229	27.2
-2.234	30.0
-2.240	32.0
-2.245	32.4
-2.250	31.6
-2.256	29.6
-2.261	27.2
-2.266	24.8
-2.272	22.4
-2.277	19.2
-2.282	16.0
-2.288	12.8
-2.293	10.0
-2.298	8.4
-2.304	7.2
-2.309	6.4
-2.314	6.0
-2.320	5.6
-2.325	5.6
-2.330	5.6
-2.336	5.6
-2.341	6.0
-2.346	6.4
-2.352	7.2
-2.357	8.4
-2.362	9.6
-2.368	11.2
-2.373	13.6
-2.378	16.4
-2.384	19.6
-2.389	23.2
-2.394	26.4
-2.400	29.2
-2.405	31.2
-2.410	32.0
-2.416	31.6
-2.421	30.0
-2.426	27.2
-2.432	24.0
-2.437	20.4
-2.442	17.2
-2.448	13.6
-2.453	10.8
-2.458	8.8
-2.464	7.6
-2.469	6.4
-2.474	6.0
-2.480	5.6
-2.485	5.6
-2.490	5.6
-2.496	6.0
-2.501	6.4
-2.506	6.8
-2.512	8.0
-2.517	9.2
-2.522	10.8
-2.528	12.8
-2.533	15.6
-2.538	18.8
-2.544	22.4
-2.549	25.6
-2.554	28.4
-2.560	30.0
-2.565	30.4
-2.570	30.0
-2.576	27.6
-2.581	24.8
-2.586	21.6
-2.592	18.4
-2.597	14.8
-2.602	12.0
-2.608	9.6
-2.613	8.0
-2.619	6.8
-2.624	6.0
-2.629	5.6
-2.635	5.6
-2.640	5.6
-2.645	6.0
-2.651	6.4
-2.656	7.2
-2.661	8.4
-2.667	10.4
-2.672	12.0
-2.677	14.4
-2.683	16.8
-2.688	18.8
-2.693	21.2
-2.699	24.0
-2.704	26.8
-2.709	28.4
-2.715	28.4
-2.720	26.4
-2.725	23.2
-2.731	20.0
-2.736	15.6
-2.741	13.6
-2.747	11.2
-2.752	9.2
-2.757	7.6
-2.763	6.8
-2.768	6.0
-2.773	5.6
-2.779	5.6
-2.784	6.0
-2.789	6.8
-2.795	8.0
-2.800	9.2
-2.805	10.8
-2.811	13.2
-2.816	16.0
-2.821	18.8
-2.827	22.0
-2.832	24.8
-2.837	27.2
-2.843	28.4
-2.848	28.4
-2.853	27.2
-2.859	24.8
-2.864	21.6
-2.869	18.4
-2.875	15.2
-2.880	12.4
-2.885	9.6
-2.891	8.0
-2.896	6.8
-2.901	6.0
-2.907	5.6
-2.912	5.6
-2.917	6.0
-2.923	6.8
-2.928	7.6
-2.933	9.2
-2.939	11.2
-2.944	13.6
-2.949	16.4
-2.955	19.6
-2.960	22.4
-2.965	25.2
-2.971	27.2
-2.976	27.6
-2.981	26.8
-2.987	24.8
-2.992	22.0
-2.997	18.8
-3.003	15.6
-3.008	12.8
-3.013	10.4
-3.019	8.4
-3.024	6.8
-3.029	6.0
-3.035	5.6
-3.040	5.6
-3.045	6.0
-3.051	6.4
-3.056	7.6
-3.061	9.6
-3.067	11.6
-3.072	14.4
-3.077	16.8
-3.083	19.6
-3.088	22.0
-3.093	24.0
-3.099	25.2
-3.104	25.2
-3.109	24.4
-3.115	22.0
-3.120	19.2
-3.125	16.0
-3.131	12.8
-3.136	10.4
-3.141	8.4
-3.147	6.8
-3.152	6.0
-3.157	5.6
-3.163	5.2
-3.168	5.6
-3.173	6.4
-3.179	8.0
-3.184	10.0
-3.189	12.4
-3.195	15.2
-3.200	17.6
-3.205	20.4
-3.211	22.4
-3.216	23.6
-3.221	24.0
-3.227	23.2
-3.232	21.6
-3.237	19.2
-3.243	16.4
-3.248	14.0
-3.253	11.2
-3.259	8.8
-3.264	7.2
-3.269	6.0
-3.275	5.2
-3.280	4.8
-3.285	4.8
-3.291	5.2
-3.296	6.4
-3.301	8.0
-3.306	10.4
-3.312	13.2
-3.317	16.4
-3.322	19.2
-3.328	21.2
-3.333	22.8
-3.338	22.8
-3.344	22.0
-3.349	20.0
-3.354	17.6
-3.360	14.8
-3.365	12.0
-3.370	9.6
-3.376	7.6
-3.381	6.0
-3.386	5.2
-3.392	4.8
-3.397	4.8
-3.402	5.2
